Data_Venda,Canal_Venda,UF,Produto,Preco_Unitario,Quantidade,Custo_Unitario,Receita,Lucro
2025-04-09,Loja Física,GO,Fone Bluetooth,315.22,1,182.23,315.22,132.99
2025-06-21,Loja Física,BA,Fone Bluetooth,303.45,1,162.87,303.45,140.58
2025-04-14,Marketplace,SP,Monitor,1119.2,2,824.2,2238.4,590.0
2025-02-04,E-commerce,ES,Smartphone,2498.41,1,1996.72,2498.41,501.69
2025-04-11,Loja Física,MG,Fone Bluetooth,380.78,2,236.3,761.56,288.96
2025-06-24,E-commerce,RJ,Smartwatch,871.17,1,559.63,871.17,311.54
2025-05-11,E-commerce,BA,Monitor,1222.82,1,791.92,1222.82,430.9
2025-01-01,Marketplace,SP,Smartphone,,1,1693.01,2220.29,527.28
2025-01-05,Marketplace,SP,Fone Bluetooth,308.27,1,171.08,308.27,137.19
2025-05-22,E-commerce,SP,Fone Bluetooth,304.83,1,166.27,304.83,138.56
2025-04-13,Marketplace,PE,Teclado Mecânico,359.9,5,207.8,1799.5,760.5
2025-01-27,E-commerce,RS,Fone Bluetooth,313.88,4,170.66,1255.52,572.88
2025-05-17,,MG,Fone Bluetooth,326.08,1,192.69,326.08,133.39
2025-01-15,E-commerce,MG,Monitor,1144.08,3,756.12,3432.24,1163.88
2025-03-31,E-commerce,SC,Smartwatch,1105.29,1,790.04,1105.29,315.25
2025-02-11,Marketplace,SP,Tablet,1704.58,1,1266.2,1704.58,438.38
2025-05-04,Loja Física,GO,Monitor,1124.62,1,663.93,1124.62,460.69
2025-06-28,Marketplace,SP,Smartwatch,969.74,1,595.25,969.74,374.49
2025-03-04,Loja Física,RJ,Smartwatch,863.43,1,570.48,863.43,292.95
2025-04-06,E-commerce,SC,Mouse Gamer,208.53,1,104.66,208.53,103.87
2025-02-21,E-commerce,BA,Mouse Gamer,209.41,2,111.07,418.82,196.68
2025-04-06,Marketplace,SP,Smartwatch,990.27,1,700.78,990.27,289.49
2025-05-12,Loja Física,BA,Teclado Mecânico,386.27,3,196.49,1158.81,569.34
2025-05-31,e-commerce,RS,Notebook,4324.71,3,3268.79,12974.13,3167.76
2025-05-23,Marketplace,SP,Smartphone,2597.61,2,2086.41,5195.22,1022.4
2025-06-20,Loja Física,SP,Mouse Gamer,225.94,1,109.25,225.94,116.69
2025-01-29,E-commerce,SC,Smartphone,2436.3,2,1771.77,4872.6,1329.06
2025-02-05,WhatsApp,PE,Monitor,1125.5,1,881.28,1125.5,244.22
2025-01-13,Marketplace,ES,Teclado Mecânico,440.27,2,258.84,880.54,362.86
2025-06-09,Marketplace,MG,Tablet,1506.51,1,1023.94,1506.51,482.57
2025-03-12,Marketplace,RS,Fone Bluetooth,346.92,1,189.51,346.92,157.41
2025-03-27,Marketplace,MG,Fone Bluetooth,328.37,1,187.58,328.37,140.79
2025-01-28,Loja Física,RJ,Smartwatch,1017.82,2,665.48,2035.64,704.68
2025-03-07,Loja Física,SP,Fone Bluetooth,282.15,1,176.56,282.15,105.59
2025-06-19,Loja Física,SP,Smartphone,2601.88,1,2055.21,2601.88,546.67
2025-02-14,Marketplace,RJ,Tablet,1826.19,1,1332.99,1826.19,493.2
2025-03-03,E-commerce,MG,Teclado Mecânico,410.71,2,212.47,821.42,396.48
2025-05-14,Loja Física,MG,Notebook,4224.05,2,3214.05,8448.1,2020.0
2025-01-28,WhatsApp,SC,Notebook,4083.23,2,3320.34,8166.46,1525.78
2025-01-28,E-commerce,PE,Teclado Mecânico,440.28,2,224.92,880.56,430.72
2025-04-18,e-commerce,RS,Fone Bluetooth,309.06,2,172.42,618.12,273.28
2025-02-13,E-commerce,PR,Teclado Mecânico,481.31,2,290.82,962.62,380.98
2025-03-25,E-commerce,SP,Smartwatch,825.95,1,546.15,825.95,279.8
2025-01-30,Loja Física,SP,Mouse Gamer,188.69,1,105.64,188.69,83.05
2025-03-16,Marketplace,RS,Teclado Mecânico,456.5,1,299.35,456.5,157.15
2025-05-08,WhatsApp,MG,Tablet,1815.75,2,1360.05,3631.5,911.4
2025-04-02,E-commerce,BA,Teclado Mecânico,457.81,1,259.89,457.81,197.92
2025-05-09,E-commerce,RJ,Smartphone,2876.4,1,2283.33,2876.4,593.07
2025-05-01,Loja Física,SP,Mouse Gamer,223.24,3,112.51,669.72,332.19
2025-01-27,Loja Física,SP,Monitor,1012.91,5,703.94,5064.55,1544.85
2025-05-01,Loja Física,GO,Teclado Mecânico,541.39,1,309.11,541.39,232.28
2025-04-26,Loja Física,RJ,Teclado Mecânico,444.31,2,236.78,888.62,415.06
2025-01-03,Marketplace,RJ,Notebook,,3,3082.89,13459.05,4210.38
2025-04-13,Loja Física,RJ,Monitor,986.48,2,639.43,1972.96,694.1
2025-06-04,Marketplace,PE,Notebook,3695.07,1,2843.62,3695.07,851.45
2025-05-17,Marketplace,BA,Smartwatch,931.32,1,595.2,931.32,336.12
2025-03-03,Loja Física,BA,Smartwatch,1011.14,1,650.88,1011.14,360.26
2025-06-14,E-commerce,SP,Smartwatch,1090.52,1,757.98,1090.52,332.54
2025-02-20,Loja Física,BA,Monitor,1010.49,4,728.23,4041.96,1129.04
2025-06-21,Marketplace,RJ,Smartphone,2446.22,1,1701.93,2446.22,744.29
2025-06-01,Loja Física,RJ,Fone Bluetooth,,1,187.64,320.02,132.38
2025-02-28,E-commerce,PE,Fone Bluetooth,320.36,1,185.5,320.36,134.86
2025-04-28,E-commerce,PR,Teclado Mecânico,445.87,1,247.99,445.87,197.88
2025-06-09,E-commerce,RS,Smartphone,2493.45,1,1790.95,2493.45,702.5
2025-04-06,Loja Física,SC,Smartwatch,1055.53,1,573.81,1055.53,481.72
2025-06-29,Marketplace,ES,Smartphone,2749.22,1,1806.41,2749.22,942.81
2025-04-23,E-commerce,MG,Notebook,4297.39,4,3308.16,17189.56,3956.92
2025-03-03,Loja Física,BA,Monitor,976.14,2,652.93,1952.28,646.42
2025-02-21,Marketplace,RS,Notebook,4078.4,1,3169.8,4078.4,908.6
2025-01-12,E-commerce,SP,Smartphone,2687.14,1,2125.16,2687.14,561.98
2025-02-08,Marketplace,MG,Mouse Gamer,,2,97.75,415.2,219.7
2025-05-10,E-commerce,PE,Fone Bluetooth,306.57,2,183.81,613.14,245.52
2025-05-11,E-commerce,RS,Mouse Gamer,213.83,1,104.95,213.83,108.88
2025-04-23,E-commerce,SP,Fone Bluetooth,338.2,2,202.17,676.4,272.06
2025-04-11,Loja Física,MG,Smartphone,2829.28,1,1979.69,2829.28,849.59
2025-04-23,E-commerce,BA,Mouse Gamer,230.44,1,112.37,230.44,118.07
2025-03-22,loja fisica,RS,Monitor,953.06,3,734.42,2859.18,655.92
2025-04-23,E-commerce,SP,Tablet,1724.73,1,1314.18,1724.73,410.55
2025-01-02,E-commerce,PE,Fone Bluetooth,353.68,1,180.33,353.68,173.35
2025-05-10,E-commerce,MG,Fone Bluetooth,287.22,1,186.75,287.22,100.47
2025-02-23,Loja Física,PR,Smartwatch,816.74,4,513.08,3266.96,1214.64
2025-03-28,E-commerce,SP,Mouse Gamer,210.41,3,108.56,631.23,305.55
2025-05-09,E-commerce,MG,Mouse Gamer,237.1,2,118.26,474.2,237.68
2025-05-27,Loja Física,SP,Notebook,4077.83,1,3171.42,4077.83,906.41
2025-05-06,E-commerce,ES,Smartwatch,1113.8,1,753.92,1113.8,359.88
2025-05-10,E-commerce,SP,Mouse Gamer,223.01,5,109.86,1115.05,565.75
2025-02-22,E-commerce,MG,Monitor,986.62,1,694.61,986.62,292.01
2025-06-21,Loja Física,RJ,Fone Bluetooth,325.01,1,175.79,325.01,149.22
2025-06-09,E-commerce,PR,Smartwatch,1102.42,2,748.22,2204.84,708.4
2025-06-09,Loja Física,PR,Tablet,1836.87,1,1394.75,1836.87,442.12
2025-03-09,Marketplace,GO,Fone Bluetooth,294.3,3,176.7,882.9,352.8
2025-05-03,WhatsApp,RS,Fone Bluetooth,272.87,1,144.3,272.87,128.57
2025-05-25,Loja Física,RJ,Fone Bluetooth,311.09,1,182.9,311.09,128.19
2025-02-07,Marketplace,RJ,Notebook,3994.53,1,2890.98,3994.53,1103.55
2025-01-24,e-commerce,ES,Notebook,4650.68,1,3463.12,4650.68,1187.56
2025-03-10,E-commerce,SC,Tablet,1663.29,2,1372.71,3326.58,581.16
2025-04-26,,ES,Smartphone,2519.06,1,1882.14,2519.06,636.92
2025-04-08,E-commerce,SP,Mouse Gamer,209.87,1,105.96,209.87,103.91
2025-05-19,Loja Física,RS,Notebook,3632.31,2,2976.62,7264.62,1311.38
2025-05-24,e-commerce,SP,Smartphone,2493.0,2,2021.4,4986.0,943.2
2025-04-07,,PR,Smartphone,2188.41,2,1584.38,4376.82,1208.06
2025-05-04,Loja Física,ES,Tablet,1891.07,1,1435.14,1891.07,455.93
2025-03-11,Loja Física,SP,Fone Bluetooth,274.87,1,172.0,274.87,102.87
2025-04-03,E-commerce,SC,Teclado Mecânico,447.32,1,257.13,447.32,190.19
2025-01-03,Marketplace,SP,Smartwatch,1030.91,2,675.02,2061.82,711.78
2025-05-28,Loja Física,ES,Mouse Gamer,229.85,2,124.86,459.7,209.98
2025-06-13,E-commerce,,Teclado Mecânico,433.67,1,249.5,433.67,184.17
2025-05-27,WhatsApp,SP,Smartphone,2585.92,1,1935.06,2585.92,650.86
2025-03-31,Loja Física,RJ,Smartwatch,1012.2,1,663.35,1012.2,348.85
2025-05-27,Loja Física,RJ,Smartwatch,867.84,3,600.65,2603.52,801.57
2025-05-28,E-commerce,PR,Notebook,4579.37,2,3557.18,9158.74,2044.38
2025-04-06,Loja Física,SP,Mouse Gamer,236.51,1,113.37,236.51,123.14
2025-02-21,Marketplace,MG,Fone Bluetooth,284.03,1,170.43,284.03,113.6
2025-06-10,WhatsApp,SC,Smartwatch,966.88,1,609.96,966.88,356.92
2025-06-17,E-commerce,ES,Smartwatch,930.16,1,609.63,930.16,320.53
2025-05-08,,RS,Tablet,2008.36,1,1461.81,2008.36,546.55
2025-02-08,Loja Física,SC,Smartphone,2673.55,1,2008.7,2673.55,664.85
2025-03-23,loja fisica,MG,Fone Bluetooth,322.11,3,200.55,966.33,364.68
2025-04-14,Marketplace,PE,Fone Bluetooth,351.31,1,194.16,351.31,157.15
2025-05-09,E-commerce,BA,Mouse Gamer,260.46,3,126.45,781.38,402.03
2025-01-11,loja fisica,BA,Teclado Mecânico,389.45,2,186.8,778.9,405.3
2025-06-27,Loja Física,GO,Notebook,4058.82,1,3120.13,4058.82,938.69
2025-05-31,WhatsApp,PR,Notebook,3861.95,1,2849.98,3861.95,1011.97
2025-06-08,E-commerce,SC,Fone Bluetooth,319.11,1,188.07,319.11,131.04
2025-02-11,E-commerce,BA,Tablet,1645.84,4,1229.94,6583.36,1663.6
2025-04-09,Loja Física,ES,Fone Bluetooth,345.2,4,197.26,1380.8,591.76
2025-01-07,e-commerce,MG,Mouse Gamer,260.65,1,123.4,260.65,137.25
2025-05-24,E-commerce,PR,Teclado Mecânico,455.99,1,259.78,455.99,196.21
2025-03-31,E-commerce,PR,Tablet,1573.93,1,1137.89,1573.93,436.04
2025-04-22,Marketplace,SP,Fone Bluetooth,304.05,2,169.59,608.1,268.92
2025-03-01,E-commerce,SP,Notebook,4033.35,4,3118.89,16133.4,3657.84
2025-04-23,Loja Física,SC,Monitor,1225.0,2,829.53,2450.0,790.94
2025-01-02,Marketplace,ES,Notebook,4315.46,1,3301.06,4315.46,1014.4
2025-05-09,Loja Física,MG,Teclado Mecânico,457.31,1,223.79,457.31,233.52
2025-02-17,E-commerce,SC,Mouse Gamer,205.21,3,103.96,615.63,303.75
2025-05-20,Loja Física,RJ,Smartwatch,903.43,3,573.22,2710.29,990.63
2025-02-06,E-commerce,PR,Fone Bluetooth,333.91,1,208.14,333.91,125.77
2025-06-09,Loja Física,BA,Smartphone,2464.61,1,1745.11,2464.61,719.5
2025-01-09,loja fisica,SP,Smartwatch,1017.19,1,622.49,1017.19,394.7
2025-04-09,E-commerce,RJ,Notebook,4026.08,2,3176.38,8052.16,1699.4
2025-05-27,E-commerce,RJ,Smartphone,1803.84,1,1272.05,1803.84,531.79
2025-02-17,E-commerce,PR,Tablet,1729.52,2,1317.49,3459.04,824.06
2025-05-11,E-commerce,MG,Fone Bluetooth,278.03,3,166.4,834.09,334.89
2025-05-28,Loja Física,ES,Mouse Gamer,230.4,2,125.42,460.8,209.96
2025-06-01,Loja Física,BA,Teclado Mecânico,464.6,2,268.82,929.2,391.56
2025-02-23,WhatsApp,SP,Tablet,1953.6,1,1497.97,1953.6,455.63
2025-04-30,E-commerce,SC,Teclado Mecânico,426.63,3,242.85,1279.89,551.34
2025-06-10,loja fisica,SP,Fone Bluetooth,315.72,1,184.97,315.72,130.75
2025-06-01,Marketplace,ES,Fone Bluetooth,302.35,2,181.35,604.7,242.0
2025-04-26,WhatsApp,MG,Mouse Gamer,220.51,1,121.53,220.51,98.98
2025-03-16,E-commerce,ES,Mouse Gamer,234.39,5,103.23,1171.95,655.8
2025-04-23,E-commerce,SP,Teclado Mecânico,401.05,2,232.55,802.1,337.0
2025-06-13,WhatsApp,,Smartwatch,1063.63,1,700.45,1063.63,363.18
2025-06-15,Loja Física,SC,Teclado Mecânico,458.98,4,281.4,1835.92,710.32
2025-04-14,E-commerce,MG,Notebook,4606.22,3,3327.26,13818.66,3836.88
2025-03-25,E-commerce,BA,Teclado Mecânico,433.93,1,242.03,433.93,191.9
2025-04-22,E-commerce,RJ,Tablet,1747.73,1,1270.57,1747.73,477.16
2025-04-09,WhatsApp,,Monitor,1205.16,1,770.18,1205.16,434.98
2025-06-02,Loja Física,PE,Mouse Gamer,226.46,1,108.47,226.46,117.99
2025-04-03,,SP,Notebook,4726.02,2,3673.87,9452.04,2104.3
2025-05-26,Loja Física,SC,Tablet,1555.06,5,1094.36,7775.3,2303.5
2025-05-08,e-commerce,PR,Fone Bluetooth,282.93,1,139.22,282.93,143.71
2025-04-20,WhatsApp,RS,Smartphone,2629.73,1,2049.85,2629.73,579.88
2025-03-23,WhatsApp,BA,Teclado Mecânico,458.78,2,241.98,917.56,433.6
2025-02-23,WhatsApp,RJ,Mouse Gamer,216.09,4,98.13,864.36,471.84
2025-06-12,Loja Física,PR,Smartphone,2869.33,1,2000.49,2869.33,868.84
2025-06-18,WhatsApp,PR,Fone Bluetooth,342.99,1,196.1,342.99,146.89
2025-06-10,WhatsApp,SC,Teclado Mecânico,404.94,3,246.1,1214.82,476.52
2025-03-09,E-commerce,PR,Smartphone,2601.1,1,1921.8,2601.1,679.3
2025-02-02,Loja Física,SC,Notebook,4315.16,2,3444.66,8630.32,1741.0
2025-05-22,E-commerce,MG,Fone Bluetooth,331.77,2,200.49,663.54,262.56
2025-01-21,E-commerce,ES,Smartwatch,964.94,2,654.58,1929.88,620.72
2025-02-17,Loja Física,RJ,Tablet,1651.58,1,1185.85,1651.58,465.73
2025-05-28,E-commerce,SP,Teclado Mecânico,425.65,1,264.77,425.65,160.88
2025-05-08,Loja Física,BA,Tablet,1693.32,1,1218.22,1693.32,475.1
2025-05-16,Loja Física,RJ,Mouse Gamer,234.8,1,111.27,234.8,123.53
2025-05-15,WhatsApp,PR,Mouse Gamer,215.13,1,107.35,215.13,107.78
2025-05-25,Loja Física,PE,Tablet,1734.87,1,1080.9,1734.87,653.97
2025-05-08,E-commerce,MG,Fone Bluetooth,346.2,3,185.65,1038.6,481.65
2025-02-02,E-commerce,SP,Fone Bluetooth,295.25,1,170.68,295.25,124.57
2025-06-25,WhatsApp,RJ,Teclado Mecânico,536.47,2,294.57,1072.94,483.8
2025-04-25,E-commerce,ES,Teclado Mecânico,442.05,1,243.6,442.05,198.45
2025-04-29,Loja Física,RS,Fone Bluetooth,297.57,1,173.04,297.57,124.53
2025-01-22,Loja Física,ES,Teclado Mecânico,413.94,1,223.01,413.94,190.93
2025-06-07,e-commerce,PR,Notebook,4532.26,1,3648.16,4532.26,884.1
